Jun 20 14:15:24 rx10025878 syslogd: restart
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153568 Current Voltage: 741 
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153234 Current Voltage: 741 
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153018 Current Voltage: 742 
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 152823 Current Voltage: 742 
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153099 Current Voltage: 743 
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153002 Current Voltage: 743 
Jun 20 14:20:25 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153186 Current Voltage: 745 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153238 Current Voltage: 675 
Jun 20 14:20:26 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:26 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 152972 Current Voltage: 745 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153316 Current Voltage: 679 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153190 Current Voltage: 682 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153255 Current Voltage: 684 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153221 Current Voltage: 686 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153318 Current Voltage: 689 
Jun 20 14:20:26 nto PU2: DEBUG	Mppt	IdleTracker: COMPLETED 
