Jun 29 13:00:24 rx10025878 syslogd: restart
Jun 29 13:07:40 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:40 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146987 Current Voltage: 605 
Jun 29 13:07:43 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147146 Current Voltage: 605 
Jun 29 13:07:43 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:43 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147079 Current Voltage: 606 
Jun 29 13:07:46 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147179 Current Voltage: 604 
Jun 29 13:07:46 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:46 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147097 Current Voltage: 605 
Jun 29 13:07:48 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147597 Current Voltage: 605 
Jun 29 13:07:48 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:48 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147702 Current Voltage: 606 
Jun 29 13:07:48 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147664 Current Voltage: 607 
Jun 29 13:07:48 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:48 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147502 Current Voltage: 608 
Jun 29 13:07:51 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 148057 Current Voltage: 607 
Jun 29 13:07:51 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:51 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 148006 Current Voltage: 607 
Jun 29 13:07:51 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 148038 Current Voltage: 609 
Jun 29 13:07:51 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:51 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147856 Current Voltage: 609 
Jun 29 13:07:53 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 148066 Current Voltage: 608 
Jun 29 13:07:53 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:53 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147976 Current Voltage: 608 
Jun 29 13:07:56 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147922 Current Voltage: 606 
Jun 29 13:07:56 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:56 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147966 Current Voltage: 609 
Jun 29 13:07:57 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 143447 Current Voltage: 591 
Jun 29 13:07:57 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:57 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 143424 Current Voltage: 594 
Jun 29 13:07:59 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147899 Current Voltage: 606 
Jun 29 13:07:59 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:07:59 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147901 Current Voltage: 607 
Jun 29 13:08:00 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 592 Idc: 242 Pdc: 143261 Pac: 139603 Wh: 11633 IdLim: 0.94 Phi: 0.00 
Jun 29 13:08:00 nto PU3: INFO	System	PLog2 300000 ms: tL1: 57 tL2: 58 tL3: 57 tCb: 53 tAc: 34 tDc: 23 
Jun 29 13:08:00 nto PU3: INFO	System	PLog3 300000 ms: iL1: 204 iL2: 206 iL3: 204 vL12: 393 vL23: 392 vL31: 393 f: 50.01 
Jun 29 13:08:00 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 610 Idc: 241 Pdc: 147368 Pac: 143362 Wh: 11946 IdLim: 0.96 Phi: 0.00 
Jun 29 13:08:00 nto PU4: INFO	System	PLog2 300000 ms: tL1: 49 tL2: 53 tL3: 51 tCb: 52 tAc: 35 tDc: 23 
Jun 29 13:08:00 nto PU4: INFO	System	PLog3 300000 ms: iL1: 210 iL2: 210 iL3: 209 vL12: 393 vL23: 393 vL31: 393 f: 50.01 
Jun 29 13:08:01 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147852 Current Voltage: 606 
Jun 29 13:08:01 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:08:01 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147898 Current Voltage: 607 
Jun 29 13:08:02 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 143208 Current Voltage: 590 
Jun 29 13:08:02 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:08:02 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 143246 Current Voltage: 592 
Jun 29 13:08:03 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 591 Idc: 222 Pdc: 131710 Pac: 128588 Wh: 10715 IdLim: 0.94 Phi: 0.00 
Jun 29 13:08:03 nto PU2: INFO	System	PLog2 300000 ms: tL1: 59 tL2: 60 tL3: 59 tCb: 51 tAc: 31 tDc: 23 
Jun 29 13:08:03 nto PU2: INFO	System	PLog3 300000 ms: iL1: 188 iL2: 188 iL3: 188 vL12: 393 vL23: 392 vL31: 393 f: 50.01 
Jun 29 13:08:04 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 147496 Current Voltage: 606 
Jun 29 13:08:04 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:08:04 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 147423 Current Voltage: 606 
Jun 29 13:08:04 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 598 Idc: 221 Pdc: 132611 Pac: 128937 Wh: 10744 IdLim: 0.95 Phi: 0.00 
Jun 29 13:08:04 nto PU1: INFO	System	PLog2 300000 ms: tL1: 60 tL2: 58 tL3: 57 tCb: 50 tAc: 31 tDc: 23 
Jun 29 13:08:04 nto PU1: INFO	System	PLog3 300000 ms: iL1: 189 iL2: 189 iL3: 188 vL12: 393 vL23: 392 vL31: 393 f: 50.01 
Jun 29 13:08:06 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 142713 Current Voltage: 589 
Jun 29 13:08:06 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:08:06 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 142534 Current Voltage: 592 
Jun 29 13:08:06 nto PU3: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 142464 Current Voltage: 594 
Jun 29 13:08:06 nto PU3: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:08:06 nto PU3: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 142361 Current Voltage: 596 
